Timestamp,Close,High,Low,Open,Volume,WeightedAverage
1588262400,209.95389244,210.37,207.04783017,208.05120001,226812.47978584,208.6960817
1588263300,207.52434133,209.99433647,207.0,209.99433647,251048.31383906,207.97260276
1588264200,205.30971579,207.80718508,205.19477777,207.52434134,130220.3747994,206.73116495
1588265100,207.515,207.93631459,204.27615281,205.14860586,123027.45724839,205.96615461
1588266000,207.135,207.48916006,206.5572557,207.39,251493.08137426,207.06722517
1588266900,204.71503533,207.05392931,204.59839289,207.05392931,321414.79179346,205.39426537
1588267800,205.59,205.59,202.0834746,204.48472783,312248.5015509,203.807462
1588268700,205.71184204,206.8031,203.00653652,205.65258514,282909.79221319,204.50033064
1588269600,209.15599731,209.26855222,205.84,205.84,234710.77118109,207.56517664
1588270500,210.00981933,210.04733369,207.725,209.14293782,163355.43370055,208.30919962
1588271400,210.01156154,210.29499999,208.69330165,209.879,224411.53524558,209.57420581
1588272300,209.02068269,209.91130381,208.27520011,209.91130381,151235.86891952,209.01287873
1588273200,209.09014787,209.98950137,209.09014787,209.15091681,64990.016305,209.4817351
1588274100,212.48709996,212.68949134,209.025,209.05879153,235394.52065096,211.33291308
1588275000,211.7439,212.56032441,211.0,212.44955549,121529.21472318,212.00399675
1588275900,211.5,212.26468804,210.96346364,211.41057637,75076.57215958,211.7170128
1588276800,210.50313621,212.29,210.28485458,211.50302713,124811.46333595,211.16852412
1588277700,210.76,211.83323051,210.06249089,210.57267942,60099.51631853,210.74547703
1588278600,211.67,211.832953,210.33669975,210.67490312,54962.21008,210.88066338
1588279500,211.63,212.11080199,211.12008929,211.832953,54267.10054139,211.43544478
1588280400,210.975,211.42283796,210.71914098,211.4048399,43326.25162113,211.12114709
1588281300,211.805,211.96019354,211.00499994,211.005,63223.63876458,211.15415965
1588282200,211.775,211.925,211.495,211.640194,13116.10730584,211.62374535
1588283100,209.08636904,211.70500001,208.64968587,211.70500001,84312.10770346,210.25582188
1588284000,208.905,209.435,208.19235574,209.14979291,30602.55980952,208.88071331
1588284900,208.74,209.015,206.84580002,208.84543569,118522.21587821,207.9749304
1588285800,208.43,209.26969998,208.15507413,208.8,45513.92647642,208.66271495
1588286700,210.37235082,210.37235082,208.1806839,208.39294845,95890.51613805,209.29942493
1588287600,208.435,210.6555708,208.04540537,210.35582051,210011.78453847,209.03185101
1588288500,207.63824541,208.41316342,206.64015414,208.41316342,127269.36343181,207.36656149
1588289400,207.20439322,207.94962087,206.64563456,207.65407265,227411.35391485,207.14579706
1588290300,206.35436145,207.20990196,205.29320752,207.20990196,209567.57199275,205.93054046
1588291200,207.76000475,208.10144071,205.94860207,206.03203023,213257.07540369,207.53344706
1588292100,208.48323772,208.93134261,207.47607819,207.97339547,208602.64773787,208.2421604
1588293000,208.84697446,208.96753954,208.34092433,208.67106692,87594.75237724,208.61107728
1588293900,208.90632374,209.50796461,208.33050688,208.84697445,168231.63968941,208.97202011
1588294800,208.97429595,209.44453457,208.64191338,208.89783064,57650.80151136,209.02166599
1588295700,208.52290282,209.64326148,208.3055091,209.18190874,148136.57687654,209.18702676
1588296600,208.28328392,208.84793335,207.93638767,208.47214024,144685.68055687,208.28340855
1588297500,208.1011112,208.49569999,207.87295823,208.26347658,99783.77372177,208.27126217
1588298400,208.36080444,208.85753544,207.8456698,207.95929298,138945.92066854,208.24352434
1588299300,209.38579198,209.38579198,208.38696404,208.39508929,54555.75085627,208.79768951
